순번,시도본부,소방서명,119안전센터명,주소,전화번호,팩스번호
1,서울특별시,강남소방서,개포119안전센터,서울특별시 강남구 논현로 10길 19 (개포동),02-6981-7593,02-2187-8228
2,서울특별시,강남소방서,삼성119안전센터,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7551,02-2187-8224
3,서울특별시,강남소방서,세곡119안전센터,서울특별시 강남구 밤고개로 268 (율현동),02-6981-7594,02-2187-8229
4,서울특별시,강남소방서,수서119안전센터,서울특별시 강남구 광평로31길 6 (수서동),02-6981-7592,02-2187-8227
5,서울특별시,강남소방서,역삼119안전센터,서울특별시 강남구 역삼로 236 (역삼동),02-6981-7591,02-2187-8226
6,서울특별시,강남소방서,영동119안전센터,서울특별시 강남구 도산대로 320 (논현동),02-6981-7590,02-2187-8225
7,서울특별시,강동소방서,강일119안전센터,서울특별시 강동구 고덕로98길 22 (상일동),02-6981-7790,02-429-0121
8,서울특별시,강동소방서,고덕119안전센터,서울특별시 강동구 양재대로156길 133 (고덕동),02-441-0119,02-426-0431
9,서울특별시,강동소방서,길동119안전센터,서울특별시 강동구 천중로 215 (길동),02-486-1727,02-487-6119
10,서울특별시,강동소방서,성내119안전센터,서울특별시 강동구 성내로 39 (성내동),02-6981-7750,02-6981-7717
11,서울특별시,강동소방서,암사119안전센터,서울특별시 강동구 올림픽로 815 (암사동),02-3426-2119,02-429-0427
12,서울특별시,강동소방서,천호119안전센터,서울특별시 강동구 진황도로 37 (천호동),02-476-0119,02-474-1721
13,서울특별시,강북소방서,미아119안전센터,서울특별시 강북구 도봉로 125 (미아동),02-6946-0252,02-2187-8368
14,서울특별시,강북소방서,번동119안전센터,서울특별시 강북구 한천로 911 (번동),02-6946-0250,02-6946-0229
15,서울특별시,강북소방서,삼각산119안전센터,서울특별시 강북구 솔샘로 208 (미아동),02-6946-0253,02-2187-8369
16,서울특별시,강북소방서,우이119안전센터,서울특별시 강북구 삼각산로 111 (수유동),02-904-0119,02-998-9116
17,서울특별시,강서소방서,개화119안전센터,서울특별시 강서구 개화동로19길 8 (개화동),02-6981-5188,02-2187-8248
18,서울특별시,강서소방서,등촌119안전센터,서울특별시 강서구 양천로 550 (등촌동),02-6981-5120,02-2187-8244
19,서울특별시,강서소방서,마곡119안전센터,서울특별시 강서구 마곡서로 9 (마곡동),02-6981-5190,02-2187-8249
20,서울특별시,강서소방서,발산119안전센터,서울특별시 강서구 강서로 329 (내발산동),02-6981-5175,02-2187-8246
21,서울특별시,강서소방서,방화119안전센터,서울특별시 강서구 금낭화로26길 10 (방화동),02-6981-5180,02-2187-8247
22,서울특별시,강서소방서,화곡119안전센터,서울특별시 강서구 까치산로 49 (화곡동),02-6981-5170,02-2187-8245
23,서울특별시,관악소방서,관악119안전센터,서울특별시 관악구 관악로 97 (봉천동),02-6981-8204,02-2187-8303
24,서울특별시,관악소방서,난곡119안전센터,서울특별시 관악구 난곡로 243 (신림동),02-6981-8371,02-2187-8307
25,서울특별시,관악소방서,봉천119안전센터,서울특별시 관악구 은천로 54 (봉천동),02-6981-8351,02-2187-8305
26,서울특별시,관악소방서,신림119안전센터,서울특별시 관악구 봉천로 202 (신림동),02-6981-8361,02-2187-8306
27,서울특별시,광진소방서,구의119안전센터,서울특별시 광진구 광나루로 480 (구의동),02-6981-6759,02-446-4119
28,서울특별시,광진소방서,능동119안전센터,서울특별시 광진구 능동로 242 (능동),02-6981-6789,02-3436-8119
29,서울특별시,광진소방서,중곡119안전센터,서울특별시 광진구 용마산로 150 (중곡동),02-6981-6799,02-2201-4119
30,서울특별시,구로소방서,고일119안전센터,서울특별시 구로구 경인로 408 (고척동),02-6981-6341,02-2681-1406
31,서울특별시,구로소방서,고척119안전센터,서울특별시 구로구 고척로 195 (고척동),02-6981-6372,02-2616-0119
32,서울특별시,구로소방서,공단119안전센터,서울특별시 구로구 디지털로34길 56 (구로동),02-6981-6396,02-837-7119
33,서울특별시,구로소방서,구로119안전센터,서울특별시 구로구 구로동로 175 (구로동),02-6981-6384,02-864-0119
34,서울특별시,구로소방서,수궁119안전센터,서울특별시 구로구 오리로 1285 (궁동),02-6981-6372,02-2613-0119
35,서울특별시,구로소방서,신도림119안전센터,서울특별시 구로구 경인로59길 57 (신도림동),02-6981-6390,02-2671-2119
36,서울특별시,금천소방서,금천119안전센터,서울특별시 금천구 시흥대로 342(독산동),02-6981-6541,02-2187-8384
37,서울특별시,금천소방서,시흥119안전센터,서울특별시 금천구 시흥대로 45길 31(시흥동),02-6981-6551,02-2187-8385
38,서울특별시,노원소방서,공릉119안전센터,서울특별시 노원구 화랑로 482 (공릉동),02-6981-6979,02-2187-8296
39,서울특별시,노원소방서,상계119안전센터,서울특별시 노원구 노원로26길 111 (상계동),02-6981-6969,02-2187-8295
40,서울특별시,노원소방서,수락119안전센터,서울특별시 노원구 동일로 1694 (상계동),02-6981-6999,02-2187-8298
41,서울특별시,노원소방서,월계119안전센터,서울특별시 노원구 월계로 323 (월계동),02-6981-6989,02-2187-8297
42,서울특별시,노원소방서,하계119안전센터,서울특별시 노원구 한글비석로 1길 8 (하계동),02-6981-6940,02-2187-8294
43,서울특별시,도봉소방서,도봉119안전센터,서울특별시 도봉구 노해로 152 (도봉동),02-6981-8182,02-2187-8277
44,서울특별시,도봉소방서,방학119안전센터,서울특별시 도봉구 도봉로 666 (방학동),02-6981-8180,02-2187-8276
45,서울특별시,도봉소방서,쌍문119안전센터,서울특별시 도봉구 노해로 152 (쌍문동),02-6981-8186,02-2187-8279
46,서울특별시,도봉소방서,창동119안전센터,서울특별시 도봉구 해등로 25 (창동),02-6981-8184,02-2187-8278
47,서울특별시,동대문소방서,용두119안전센터,서울특별시 동대문구 왕산로 76 (용두동),02-6942-1371,02-2187-8188
48,서울특별시,동대문소방서,장안119안전센터,서울특별시 동대문구 장한로 34 (장안동),02-6942-1352,02-2187-8184
49,서울특별시,동대문소방서,전농119안전센터,서울특별시 동대문구 황물로 3 (전농동),02-6942-1366,02-2187-8187
50,서울특별시,동대문소방서,청량리119안전센터,서울특별시 동대문구 왕산로 299 (청량리동),02-6942-1361,02-2187-8186
51,서울특별시,동대문소방서,휘경119안전센터,서울특별시 동대문구 망우로 106 (휘경동),02-6942-1376,02-2187-8189
52,서울특별시,동작소방서,노량진119안전센터,서울특별시 동작구 노량진로 187 (노량진동),02-6913-7881,02-813-5119
53,서울특별시,동작소방서,동작119안전센터,서울특별시 동작구 여의대방로16길 55 (신대방동),02-6913-7871,02-847-0900
54,서울특별시,동작소방서,백운119안전센터,서울특별시 동작구 사당로 63 (상도동),02-6913-7895,02-816-0709
55,서울특별시,동작소방서,상도119안전센터,서울특별시 동작구 국사봉1길 17 (상도동),02-6913-7888,02-825-0693
56,서울특별시,마포소방서,공덕119안전센터,서울특별시 마포구 만리재옛길 82 (공덕동),02-3274-0976,02-2187-8268
57,서울특별시,마포소방서,상암119안전센터,서울특별시 마포구 월드컵북로 42길 34 (상암동),02-309-5119,02-2187-8269
58,서울특별시,마포소방서,서교119안전센터,서울특별시 마포구 양화로 60 (서교동),02-3143-2119,02-2187-8266
59,서울특별시,마포소방서,성산119안전센터,서울특별시 마포구 월드컵북로 240 (성산동),02-304-0119,02-2187-8267
60,서울특별시,마포소방서,신수119안전센터,서울특별시 마포구 창전로 76 (신수동),02-6981-7931,02-2187-8264
61,서울특별시,마포소방서,염리119안전센터,서울특별시 마포구 토정로 37길 27 (염리동),02-713-0965,02-2187-8265
62,서울특별시,서대문소방서,북가좌119안전센터,서울특별시 서대문구 증가로 242 (북가좌동),02-6981-5531,02-2187-8356
63,서울특별시,서대문소방서,북아현119안전센터,서울특별시 서대문구 북아현로 37 (북아현동),02-6981-5551,02-2187-8358
64,서울특별시,서대문소방서,연희119안전센터,서울특별시 서대문구 연희로 182 (연희동),02-6981-5521,02-2187-8354
65,서울특별시,서대문소방서,홍은119안전센터,서울특별시 서대문구 홍은중앙로 83 (홍은동),02-6981-5541,02-2187-8357
66,서울특별시,서초소방서,반포119안전센터,서울특별시 서초구 사평대로 67 (반포동),02-6981-5999,02-2187-8234
67,서울특별시,서초소방서,방배119안전센터,서울특별시 서초구 남부순환로 2155 (방배동),02-6981-5970,02-2187-8235
68,서울특별시,서초소방서,서초119안전센터,서울특별시 서초구 효령로 400 (서초동),02-6981-5985,02-2187-8237
69,서울특별시,서초소방서,양재119안전센터,서울특별시 서초구 동산로 9 (양재동),02-6981-5980,02-2187-8236
70,서울특별시,서초소방서,우면119안전센터,서울특별시 서초구 남부순환로340길 49 (서초동),02-6981-5995,02-2187-8239
71,서울특별시,서초소방서,잠원119안전센터,서울특별시 서초구 서초중앙로29길 6 (반포동),02-6981-5990,02-2187-8238
72,서울특별시,성동소방서,금호119안전센터,서울특별시 성동구 난계로 19 (금호동1가),02-2622-1771,02-2622-1779
73,서울특별시,성동소방서,성수119안전센터,서울특별시 성동구 뚝섬로 452 (성수동2가),02-2622-1751,02-2622-1759
74,서울특별시,성동소방서,왕십리119안전센터,서울특별시 성동구 고산자로 249 (도선동),02-2622-1761,02-2622-1769
75,서울특별시,성동소방서,행당119안전센터,서울특별시 성동구 살곶이길 331(행당동),02-2622-1740,02-2622-1749
76,서울특별시,성북소방서,길음119안전센터,서울특별시 성북구 정릉로 321 (길음동),02-6981-7372,02-2187-8208
77,서울특별시,성북소방서,돈암119안전센터,서울특별시 성북구 보문로 192 (삼선동4가),02-6981-7361,02-2187-8207
78,서울특별시,성북소방서,장위119안전센터,서울특별시 성북구 한천로 662-8 (장위동),02-6981-7383,02-2187-8209
79,서울특별시,성북소방서,종암119안전센터,서울특별시 성북구 종암로 27길 3 (종암동),02-6981-7351,02-2187-8205
80,서울특별시,송파소방서,가락119안전센터,서울특별시 송파구 양재대로 932 (가락동),02-6981-5396,02-2187-8319
81,서울특별시,송파소방서,거여119안전센터,서울특별시 송파구 마천로 329 (마천동),02-6981-5363,02-2187-8315
82,서울특별시,송파소방서,마천119안전센터,서울특별시 송파구 오금로51길 56 (마천동),02-6981-5343,02-2187-8314
83,서울특별시,송파소방서,방이119안전센터,서울특별시 송파구 강동대로 286 (방이동),02-6981-5373,02-2187-8316
84,서울특별시,송파소방서,잠실119안전센터,서울특별시 송파구 석촌호수로 151 (잠실동),02-6981-5383,02-2187-8317
85,서울특별시,송파소방서,종합운동장119안전센터,서울특별시 송파구 올림픽로 25 (잠실동),02-6981-5391,02-2187-8318
86,서울특별시,양천소방서,목동119안전센터,서울특별시 양천구 안양천로 1139 (목동),02-6981-8765,02-2187-8326
87,서울특별시,양천소방서,신월119안전센터,서울특별시 양천구 남부순환로 448 (신월동),02-6981-8790,02-2187-8327
88,서울특별시,양천소방서,신정119안전센터,서울특별시 양천구 신월로 268 (신정동),02-6981-8760,02-2187-8325
89,서울특별시,양천소방서,신트리119안전센터,서울특별시 양천구 신정로 238 (신정동),02-6981-8795,02-2187-8328
90,서울특별시,양천소방서,양천119안전센터,서울특별시 양천구 목동서로 180 (목동),02-6981-8750,02-2187-8324
91,서울특별시,영등포소방서,당산119안전센터,서울특별시 영등포구 양평로 70-1 (당산동6가),02-6981-7185,02-2187-8196
92,서울특별시,영등포소방서,대림119안전센터,서울특별시 영등포구 도림로 212 (신길동),02-6981-7193,02-2187-8197
93,서울특별시,영등포소방서,신길119안전센터,서울특별시 영등포구 영등포로84길 31 (신길동),02-6981-7196,02-2187-8198
94,서울특별시,영등포소방서,여의도119안전센터,서울특별시 영등포구 의사당대로 162 (여의도동),02-6981-7176,02-2187-8195
95,서울특별시,영등포소방서,영등포119안전센터,서울특별시 영등포구 문래로 197 (영등포동4가),02-6981-7004,02-2187-8194
96,서울특별시,용산소방서,서빙고119안전센터,서울특별시 용산구 서빙고로67길 7 (서빙고동),02-6943-1570,02-2187-8178
97,서울특별시,용산소방서,이촌119안전센터,서울특별시 용산구 이촌로2가길 1 (이촌동),02-6943-1560,02-2187-8177
98,서울특별시,용산소방서,이태원119안전센터,서울특별시 용산구 이태원로 196 (이태원동),02-6943-1540,02-2187-8175
99,서울특별시,용산소방서,한강로119안전센터,서울특별시 용산구 한강대로 167 (한강로2가),02-6943-1520,02-2187-8174
100,서울특별시,용산소방서,후암119안전센터,서울특별시 용산구 후암로 34 (후암동),02-6943-1550,02-2187-8176
101,서울특별시,은평소방서,녹번119안전센터,서울특별시 은평구 은평로 245 (녹번동),02-6981-6170,02-2187-8215
102,서울특별시,은평소방서,수색119안전센터,서울특별시 은평구 수색로 320 (수색동),02-6981-6191,02-2187-8217
103,서울특별시,은평소방서,역촌119안전센터,서울특별시 은평구 갈현로 80 (역촌동),02-6981-6181,02-356-0674
104,서울특별시,은평소방서,진관119안전센터,서울특별시 은평구 통일로 962 (진관동),02-6981-6151,02-389-0674
105,서울특별시,종로소방서,세종로119안전센터,서울특별시 종로구 율곡로 78(운니동),02-6981-5740,02-2187-8144
106,서울특별시,종로소방서,숭인119안전센터,서울특별시 종로구 숭인동길 63 (숭인동),02-929-0921,02-2187-8149
107,서울특별시,종로소방서,신교119안전센터,서울특별시 종로구 자하문로 93 (신교동),02-737-8119,02-2187-8145
108,서울특별시,종로소방서,신영119안전센터,서울특별시 종로구 진흥로 477 (신영동),02-391-0119,02-2187-8148
109,서울특별시,종로소방서,연건119안전센터,서울특별시 종로구 대학로 91 (연건동),02-747-8119,02-2187-8147
110,서울특별시,종로소방서,종로119안전센터,서울특별시 종로구 돈화문로 30 (묘동),02-747-7119,02-2187-8146
111,서울특별시,중랑소방서,망우119안전센터,서울특별시 중랑구 용마산로 524 (망우동),02-6981-8972,02-432-0119
112,서울특별시,중랑소방서,면목119안전센터,서울특별시 중랑구 동일로 475 (면목동),02-6981-8962,02-435-0119
113,서울특별시,중랑소방서,신내119안전센터,서울특별시 중랑구 신내로 183 (신내동),02-6981-8952,02-2187-8334
114,서울특별시,중랑소방서,중화119안전센터,서울특별시 중랑구 동일로 783 (중화동),02-6981-8982,02-2207-0119
115,서울특별시,중부소방서,무학119안전센터,서울특별시 중구 퇴계로 394(무학동),02-6981-0159,02-2187-8154
116,서울특별시,중부소방서,신당119안전센터,서울특별시 중구 다산로8길 2 (신당동),02-6981-0199,02-2187-8158
117,서울특별시,중부소방서,을지로119안전센터,서울특별시 중구 을지로45길 43 (신당동),02-6981-0175,02-2187-8155
118,서울특별시,중부소방서,충무로119안전센터,서울특별시 중구 충무로 11 (충무로3가),02-6981-0183,02-2187-8156
119,서울특별시,중부소방서,회현119안전센터,서울특별시 중구 소공로 30 (회현동2가),02-6981-0191,02-2187-8157
120,부산광역시,강서소방서,강동119안전센터,부산광역시 강서구 제도로 696(강동동),051-760-6042,051-760-6049
121,부산광역시,강서소방서,공항119안전센터,부산광역시 강서구 유통단지1로 57번길 19(대저2동),051-760-6062,051-760-6069
122,부산광역시,강서소방서,녹산119안전센터,부산광역시 강서구 녹산산단361로 9(송정동),051-760-6012,051-760-6019
123,부산광역시,강서소방서,대저119안전센터,부산광역시 강서구 대저로221번길 25(대저1동),051-760-6032,051-760-6039
124,부산광역시,강서소방서,신호119안전센터,부산광역시 강서구 신호산단4로 62(신호동),051-760-6022,051-760-6029
125,부산광역시,강서소방서,지사119안전센터,부산광역시 강서구 과학산단로333번길 3(지사동),051-760-6053,051-760-6059
126,부산광역시,금정소방서,남산119안전센터,부산광역시 금정구 두실로 46(남산동),051-760-6732,051-760-6739
127,부산광역시,금정소방서,부곡119안전센터,부산광역시 금정구 중앙대로 1789(부곡동),051-760-6711,051-760-6719
128,부산광역시,금정소방서,산성119안전센터,부산광역시 금정구 산성로 396(금성동),051-760-6752,051-760-6759
129,부산광역시,금정소방서,서동119안전센터,부산광역시 동래구 반송로 331(명장동),051-760-6723,051-760-6729
130,부산광역시,금정소방서,회동119안전센터,부산광역시 금정구 개좌로 286(회동동),051-760-6742,051-760-6749
131,부산광역시,기장소방서,송정119안전센터,부산광역시 해운대구 송정중앙로15번길 16(송정동),051-760-5432,051-760-5439
132,부산광역시,기장소방서,일광119안전센터,부산광역시 기장군 일광읍 해빛5로 15,051-760-5422,051-760-5429
133,부산광역시,기장소방서,장안119안전센터,부산광역시 기장군 기장읍 길천3길 11,051-760-5442,051-760-5449
134,부산광역시,기장소방서,정관119안전센터,부산광역시 기장군 정관읍 용수로 7(정관읍),051-760-5412,051-760-5419
135,부산광역시,남부소방서,감만119안전센터,부산광역시 남구 우암로 81(감만동),051-760-6822,051-760-6829
136,부산광역시,남부소방서,광안119안전센터,부산광역시 수영구 광일로 64(광안동),051-760-6812,051-760-6819
137,부산광역시,남부소방서,대연119안전센터,부산광역시 남구 수영로 279(대연동),051-760-6832,051-760-6839
138,부산광역시,남부소방서,망미119안전센터,부산광역시 수영구 연수로 330(망미동),051-760-6842,051-760-6849
139,부산광역시,남부소방서,용당119안전센터,부산광역시 남구 신선로 398(용당동),051-760-6852,051-760-6859
140,부산광역시,동래소방서,사직119안전센터,부산광역시 동래구 체육공원로 74(사직동),051-760-6352,051-760-6359
141,부산광역시,동래소방서,수안119안전센터,부산광역시 동래구 명륜로45번길 7(수안동),051-760-6322,051-760-6329
142,부산광역시,동래소방서,양정119안전센터,부산광역시 부산진구 연수로 50(양정동),051-760-6342,051-760-6349
143,부산광역시,동래소방서,연산119안전센터,부산광역시 연제구 고분로 216(연산동),051-760-6312,051-760-6319
144,부산광역시,동래소방서,온천119안전센터,부산광역시 동래구 우장춘로 196(온천동),051-760-6332,051-760-6339
145,부산광역시,부산진소방서,가야119안전센터,부산광역시 부산진구 가야대로 627(가야동),051-760-6241,051-760-6249
146,부산광역시,부산진소방서,당감119안전센터,부산광역시 부산진구 백양산로53번길 65(당감동),051-760-6261,051-760-6269
147,부산광역시,부산진소방서,범일119안전센터,부산광역시 동구 범일로 115(범일동),051-760-6221,051-760-6229
148,부산광역시,부산진소방서,부암119안전센터,부산광역시 부산진구 신천대로 282(부암동),051-760-6251,051-760-6259
149,부산광역시,부산진소방서,부전119안전센터,부산광역시 부산진구 서전로 43(전포동),051-760-6211,051-760-6219
150,부산광역시,부산진소방서,수정119안전센터,부산광역시 동구 중앙대로 383-1(수정동),051-760-6231,051-760-6239
151,부산광역시,부산진소방서,안창119안전센터,부산광역시 동구 안창로 62(범일동),051-760-6271,051-760-6279
152,부산광역시,북부소방서,구포119안전센터,부산광역시 북구 만덕대로 31(덕천동),051-760-5322,051-760-5329
153,부산광역시,북부소방서,금곡119안전센터,부산광역시 북구 금곡대로 680(금곡동),051-760-5312,051-760-5319
154,부산광역시,북부소방서,만덕119안전센터,부산광역시 북구 함박봉로 142(만덕동),051-760-5342,051-760-5349
155,부산광역시,북부소방서,화명119안전센터,부산광역시 북구 금곡대로 184(화명동),051-760-5332,051-760-5339
156,부산광역시,사상소방서,감전119안전센터,부산광역시 사상구 가야대로 41(감전동),051-760-6422,051-760-6429
157,부산광역시,사상소방서,모라119안전센터,부산광역시 사상구 백양대로 950(모라동),051-760-6472,051-760-6479
158,부산광역시,사상소방서,삼락119안전센터,부산광역시 사상구 낙동대로 1422(삼락동),051-760-6412,051-760-6419
159,부산광역시,사상소방서,주례119안전센터,부산광역시 사상구 양지로22(주례동),051-760-6462,051-760-6469
160,부산광역시,사상소방서,학장119안전센터,부산광역시 사상구 학감대로 89(학장동),051-760-6482,051-760-6489
161,부산광역시,사하소방서,감천119안전센터,부산광역시 사하구 원양로 405(감천동),051-760-6552,051-760-6559
162,부산광역시,사하소방서,괴정119안전센터,부산광역시 사하구 낙동대로 262(괴정동),051-760-6522,051-760-6529
163,부산광역시,사하소방서,다대119안전센터,부산광역시 사하구 다대로 622(다대동),051-760-6542,051-760-6549
164,부산광역시,사하소방서,신평119안전센터,부산광역시 사하구 장평로 270(신평동),051-760-6512,051-760-6519
165,부산광역시,사하소방서,하단119안전센터,부산광역시 사하구 낙동남로 1407(하단동),051-760-6532,051-760-6539
166,부산광역시,중부소방서,부민119안전센터,부산광역시 서구 임시수도기념로 21-4(부민동3가),051-760-6122,051-760-6129
167,부산광역시,중부소방서,중앙119안전센터,부산광역시 중구 중앙대로 110(중앙동4가),051-760-6112,051-760-6119
168,부산광역시,중부소방서,창선119안전센터,부산광역시 중구 대청로 68-1(부평동1가),051-760-6142,051-760-6149
169,부산광역시,중부소방서,초량119안전센터,부산광역시 동구 중앙대로 260번길 7(초량동),051-760-6152,051-760-6159
170,부산광역시,중부소방서,충무119안전센터,부산광역시 서구 충무대로 186(남부민동),051-760-6131,051-760-6139
171,부산광역시,항만소방서,동삼119안전센터,부산광역시 영도구 해양로 297(동삼동),051-760-6912,051-760-6919
172,부산광역시,항만소방서,부두119안전센터,부산광역시 동구 충장대로 286(좌천동),051-760-6932,051-760-6939
173,부산광역시,항만소방서,영선119안전센터,부산광역시 영도구 태종로 115(영선동1가),051-760-6922,051-760-6929
174,부산광역시,항만소방서,청학119안전센터,부산광역시 영도구 태종로 274(청학동),051-760-6942,051-760-6949
175,부산광역시,해운대소방서,반송119안전센터,부산광역시 해운대구 아랫반송로 10(반송동),051-760-6662,051-760-6669
176,부산광역시,해운대소방서,반여119안전센터,부산광역시 해운대구 선수촌로 21번길 64(반여동),051-760-6632,051-760-6639
177,부산광역시,해운대소방서,센텀119안전센터,부산광역시 해운대구 센텀동로 50(우동),051-760-6652,051-760-6659
178,부산광역시,해운대소방서,우동119안전센터,부산광역시 해운대구 해운대해변로 106(우동),051-760-6612,051-760-6619
179,부산광역시,해운대소방서,좌동119안전센터,부산광역시 해운대구 대천로67번길 35(좌동),051-760-6642,051-760-6649
180,부산광역시,해운대소방서,중동119안전센터,부산광역시 해운대구 달맞이길 117번길 72(중동),051-760-6622,051-760-6629
181,대구광역시,강북소방서,구암119안전센터,대구광역시 북구 구암서로 71,053-607-5931,053-609-5939
182,대구광역시,강북소방서,군위119안전센터,대구광역시 군위군 군위읍 군위공단길 65,053-607-5981,
183,대구광역시,강북소방서,금호119안전센터,대구광역시 북구 한강로 105,053-607-5882,053-314-0119
184,대구광역시,강북소방서,무태119안전센터,대구광역시 북구 호국로43길 21,053-607-5961,053-952-2119
185,대구광역시,강북소방서,읍내119안전센터,대구광역시 북구 칠곡중앙대로 570,053-607-5941,053-321-0119
186,대구광역시,강북소방서,의흥119안전센터,대구광역시 군위군 의흥면 읍내길 23,053-607-5991,
187,대구광역시,강북소방서,태전119안전센터,대구광역시 북구 칠곡중앙대로 184,053-607-5951,053-312-0119
188,대구광역시,강서소방서,다사119안전센터,대구광역시 달성군 다사읍 달구벌대로 920,053-601-5621,053-587-4119
189,대구광역시,강서소방서,대천119안전센터,대구광역시 달서구 달서대로58길 129,053-601-5650,053-584-0120
190,대구광역시,강서소방서,매곡119안전센터,대구광역시 달성군 다사읍 달구벌대로 753,053-601-5661,053-591-0119
191,대구광역시,강서소방서,성서119안전센터,대구광역시 달서구 성서로 357,053-601-5631,053-583-0120
192,대구광역시,달서소방서,도원119안전센터,대구광역시 달서구 도원로 8,053-607-2970,053-636-8110
193,대구광역시,달서소방서,본리119안전센터,대구광역시 달서구 대명천로 134,053-607-2950,053-625-0119
194,대구광역시,달서소방서,송현119안전센터,대구광역시 달서구 월배로 262,053-607-2960,053-632-1990
195,대구광역시,달서소방서,월성119안전센터,대구광역시 달서구 학산로 75,053-607-2930,053-635-0228
196,대구광역시,달서소방서,죽전119안전센터,대구광역시 달서구 와룡로 222,053-607-2990,053-563-0120
197,대구광역시,달성소방서,구지119안전센터,대구광역시 달성군 구지면 달성2차로 111,053-602-4970,053-611-1197
198,대구광역시,달성소방서,논공119안전센터,대구광역시 달성군 논공읍 논공중앙로33길 5,053-602-4950,053-615-6119
199,대구광역시,달성소방서,옥포119안전센터,대구광역시 달성군 옥포읍 돌미로 93,053-602-4980,053-615-9195
200,대구광역시,달성소방서,현풍119안전센터,대구광역시 달성군 현풍읍 비슬로 480,053-602-4930,053-670-5426
201,대구광역시,달성소방서,화원119안전센터,대구광역시 달성군 화원읍 화암로 122,053-602-4960,053-639-2119
202,대구광역시,동부소방서,공산119안전센터,대구광역시 동구 팔공산로 1579,053-605-5361,053-982-5119
203,대구광역시,동부소방서,동촌119안전센터,대구광역시 동구 해동로 180,053-605-5331,053-985-9119
204,대구광역시,동부소방서,불로봉무119안전센터,대구광역시 동구 팔공로50길 19,053-605-5351,053-982-6119
205,대구광역시,동부소방서,신천119안전센터,대구광역시 동구 효신로 13,053-605-5321,053-755-3119
206,대구광역시,동부소방서,안심119안전센터,대구광역시 동구 매여로 102,053-605-5341,053-961-4119
207,대구광역시,동부소방서,혁신119안전센터,대구광역시 동구 각산동 1022,053-605-5371,053-964-8911
208,대구광역시,북부소방서,노원119안전센터,대구광역시 북구 노원로 42,053-350-5751,053-350-5729
209,대구광역시,북부소방서,대현119안전센터,대구광역시 북구 대현로 105,053-350-5770,053-350-5779
210,대구광역시,북부소방서,산격119안전센터,대구광역시 북구 유통단지로8길 88,053-350-5791,053-350-5799
211,대구광역시,북부소방서,칠성119안전센터,대구광역시 북구 칠성남로 112,053-350-5721,053-350-5729
212,대구광역시,북부소방서,침산119안전센터,대구광역시 북구 침산남로 149,053-350-5749,053-353-0119
213,대구광역시,서부소방서,내당119안전센터,대구광역시 서구 서대구로3길 16,053-320-4495,053-557-0119
214,대구광역시,서부소방서,비산119안전센터,대구광역시 서구 달서로 206,053-320-4496,053-565-5119
215,대구광역시,서부소방서,이현119안전센터,대구광역시 서구 국채보상로 119,053-320-4493,053-552-0119
216,대구광역시,서부소방서,평리119안전센터,대구광역시 서구 달서천로 186,053-320-4492,053-352-8953
217,대구광역시,수성소방서,가창119안전센터,대구광역시 달성군 가창면 가창로 547,053-607-3900,050-2671-0119
218,대구광역시,수성소방서,고산119안전센터,대구광역시 수성구 고산로 105,053-607-3890,050-2671-0119
219,대구광역시,수성소방서,만촌119안전센터,대구광역시 수성구 달구벌대로 2658,053-607-3840,050-2671-0119
220,대구광역시,수성소방서,무열로119안전센터,대구광역시 수성구 무열로 139,053-607-3880,050-2671-0119
221,대구광역시,수성소방서,범물119안전센터,대구광역시 수성구 청호로 87,053-607-3820,053-607-3839
